Job_ID,Task_Start_Time,Task_End_Time,CPU_Utilization (%),Memory_Consumption (MB),Task_Execution_Time (ms),System_Throughput (tasks/sec),Task_Waiting_Time (ms),Data_Source,Number_of_Active_Users,Network_Bandwidth_Utilization (Mbps),Job_Priority,Scheduler_Type,Resource_Allocation_Type,Error_Rate (%),Task_Type,Projection_Score,Predicted_Execution_Duration (ms),Predicted_Context_Switch_Penalty (ms),Host_Cluster_Suitability_Score,Predicted_Load_Condition,Scheduling_Priority_Score,Resource_Cluster_ID,Load_Rebalancing_Flag,Envy_Freeness_Score,VM_Placement_Diversity_Score,PM_Utilization_Efficiency (%),Affinity_Breaker_Flag,Observed_Delay_Deviation (ms),Adaptive_Model_Update_Flag,Context_Switch_Overhead (%),Thermal_Impact_Score,Energy_Efficiency_Index,Predicted_Host_ID,Actual_Host_ID,CPU_Share (%),Memory_Share (%),Bandwidth_Share (%),VM_Total_Memory_Capacity (MB),Host_Selection_Correct,Envy_Rate (%),Dominant_Resource_Share (%),Memory_Utilization (%)
JOB_1,01-01-2024 00:00,01-01-2024 00:00,39.96,3622,2734,9.03,83,IoT,3000,112.97,Low,FCFS,Static,1.65,CPU-Bound,1.027,2522,115,0.728,Low,0.486,Cluster_1,No,0.831,0.967,83.1,No,212,Yes,0.98,0.818,1.215,Host_4,Host_2,16.31,32.51,65.68,16384,0,16.9,65.68,22.11
JOB_2,01-01-2024 00:01,01-01-2024 00:01,86.06,5690,2868,8.03,64,Social Media,4590,329.2,Low,Priority-Based,Dynamic,2.92,IO-Bound,0.708,2856,93,0.758,High,0.964,Cluster_2,Yes,0.741,0.572,75.27,Yes,12,Yes,0.55,0.538,1.438,Host_1,Host_1,54.39,43.15,43,32768,1,25.9,54.39,17.36
JOB_3,01-01-2024 00:02,01-01-2024 00:02,68.56,5075,1311,5.69,971,Cloud,3780,542.82,Low,Priority-Based,Static,2.6,Delay-Sensitive,1.424,1150,71,0.819,High,0.662,Cluster_3,No,0.802,0.891,84.64,Yes,161,No,2.21,0.649,1.276,Host_3,Host_3,43.42,11.67,15.79,8192,1,19.8,43.42,61.95
JOB_4,01-01-2024 00:03,01-01-2024 00:03,57.89,7686,875,4.51,757,Social Media,4474,973.94,Medium,Priority-Based,Dynamic,1.33,Memory-Intensive,1.41,788,71,0.732,Low,0.189,Cluster_4,Yes,0.923,0.883,92.51,Yes,87,Yes,2.06,0.676,1.075,Host_3,Host_4,41.45,62.81,48.26,16384,0,7.7,62.81,46.91
JOB_5,01-01-2024 00:04,01-01-2024 00:04,22.48,2297,1260,6.38,581,Enterprise DB,1981,405.38,Low,FCFS,Static,1.99,Memory-Intensive,0.773,1236,65,0.844,Low,0.82,Cluster_5,Yes,0.819,0.728,82.94,Yes,24,No,1.86,0.613,0.817,Host_2,Host_4,74.81,25.64,44.56,32768,0,18.1,74.81,7.01
JOB_6,01-01-2024 00:05,01-01-2024 00:05,22.48,2631,2483,4.72,33,Cloud,3471,227.84,Low,ASB-Dynamic-CapsNet,Static,2.72,Delay-Sensitive,1.411,2453,54,0.926,High,0.288,Cluster_6,Yes,0.806,0.897,90.26,No,30,No,1.12,0.282,1.058,Host_2,Host_3,78.21,84.7,36.24,8192,0,19.4,84.7,32.12
JOB_7,01-01-2024 00:06,01-01-2024 00:06,14.65,7822,2754,2.84,997,Social Media,2040,175.13,High,FCFS,Static,2.9,Memory-Intensive,0.659,2587,60,0.838,Low,0.173,Cluster_7,Yes,0.931,0.592,78.89,No,167,Yes,2.99,0.178,1.036,Host_1,Host_4,24.45,66.73,37.26,32768,0,6.9,66.73,23.87
JOB_8,01-01-2024 00:07,01-01-2024 00:07,79.29,7208,3640,6.95,31,Social Media,4915,181.31,Low,Priority-Based,Dynamic,2.66,Delay-Sensitive,0.728,3395,118,0.68,High,0.161,Cluster_8,No,0.864,0.766,75.12,No,245,No,3.41,0.546,1.231,Host_2,Host_3,51.57,51.77,73.25,16384,0,13.6,73.25,43.99
JOB_9,01-01-2024 00:08,01-01-2024 00:08,58.09,7262,4797,8.8,437,Cloud,3906,200.67,Low,Priority-Based,Static,4.23,IO-Bound,1.433,4613,50,0.961,High,0.606,Cluster_9,No,0.711,0.67,72.21,No,184,Yes,1.91,0.428,1.417,Host_1,Host_2,86.08,43.49,35.45,32768,0,28.9,86.08,22.16
JOB_10,01-01-2024 00:09,01-01-2024 00:09,66.65,7000,4735,4.04,41,Cloud,1532,764.64,Medium,Priority-Based,Dynamic,0.16,IO-Bound,1.161,4755,78,1,High,0.479,Cluster_10,No,0.902,0.977,83.43,Yes,-20,Yes,4.06,0.586,1.024,Host_3,Host_2,57.49,54.1,71.89,16384,0,9.8,71.89,42.72
JOB_11,01-01-2024 00:10,01-01-2024 00:10,11.65,1315,1195,8.49,872,Enterprise DB,2595,70.42,Low,Priority-Based,Dynamic,1.66,Delay-Sensitive,0.98,1397,40,0.899,High,0.683,Cluster_11,Yes,0.879,0.505,70.18,Yes,-202,No,1.49,0.949,1.006,Host_4,Host_4,24.54,15.57,56.88,8192,1,12.1,56.88,16.05
JOB_12,01-01-2024 00:11,01-01-2024 00:11,87.59,3194,123,4.6,348,IoT,4270,997.43,Medium,Round Robin,Static,3.75,IO-Bound,1.218,10,75,0.711,Low,0.14,Cluster_12,Yes,0.824,0.768,85.85,No,113,Yes,3.43,0.509,0.987,Host_2,Host_4,87.58,85.64,59.5,16384,0,17.6,87.58,19.49
JOB_13,01-01-2024 00:12,01-01-2024 00:12,76.6,942,4819,4.31,956,IoT,4349,527.46,High,Priority-Based,Static,3.26,Memory-Intensive,0.587,4702,62,0.913,High,0.99,Cluster_13,Yes,0.831,0.963,85.17,Yes,117,Yes,2.5,0.155,1.232,Host_4,Host_4,76.94,90.89,63.91,32768,1,16.9,90.89,2.87
JOB_14,01-01-2024 00:13,01-01-2024 00:13,26.99,3640,3656,0.77,990,Cloud,2865,548.83,High,FCFS,Static,4.59,Memory-Intensive,0.71,3850,59,0.657,Medium,0.361,Cluster_14,No,0.718,0.8,82.81,No,-194,Yes,2.32,0.711,0.934,Host_3,Host_2,16.91,63.9,86.81,8192,0,28.2,86.81,44.43
